type,timestamp_ns,value1,value2,est_x,est_y,est_heading
GYRO,0,-0.075600240,0.000000000,0.000000000,0.000000000,0.000000000
WHEEL,0,2.988995310,2.710308661,0.000000000,0.000000000,0.000000000
GYRO,25000000,-0.066075884,0.000000000,0.002350963,0.000000000,-0.001890006
WHEEL,50000000,3.009477217,2.727369002,0.004701922,-0.000004443,-0.003541903
GYRO,50000000,-0.068723706,0.000000000,0.004701922,-0.000004443,-0.003541903
GYRO,75000000,-0.068917764,0.000000000,0.007068356,-0.000012825,-0.005259996
GYRO,100000000,-0.064780318,0.000000000,0.009434772,-0.000025273,-0.006982940
WHEEL,100000000,2.981663463,2.697517057,0.009434772,-0.000025273,-0.006982940
GYRO,125000000,-0.070948544,0.000000000,0.011777377,-0.000041631,-0.008602448
GYRO,150000000,-0.080815300,0.000000000,0.014119952,-0.000061783,-0.010376161
WHEEL,150000000,2.959780743,2.690143931,0.014119952,-0.000061783,-0.010376161
GYRO,175000000,-0.060366589,0.000000000,0.016450421,-0.000085966,-0.012396544
WHEEL,200000000,3.007851595,2.681416307,0.018780836,-0.000114856,-0.013905709
GYRO,200000000,-0.059934538,0.000000000,0.018780836,-0.000114856,-0.013905709
GYRO,225000000,-0.066425290,0.000000000,0.021127432,-0.000147489,-0.015404072
WHEEL,250000000,3.001596636,2.696809671,0.023473976,-0.000183639,-0.017064704
GYRO,250000000,-0.045981973,0.000000000,0.023473976,-0.000183639,-0.017064704
GYRO,275000000,-0.058542321,0.000000000,0.025824227,-0.000223749,-0.018214254
WHEEL,300000000,3.000444437,2.691444141,0.028174429,-0.000266561,-0.019677812
GYRO,300000000,-0.078026406,0.000000000,0.028174429,-0.000266561,-0.019677812
GYRO,325000000,-0.063062491,0.000000000,0.030521879,-0.000312759,-0.021628472
WHEEL,350000000,2.989363651,2.697650490,0.032869234,-0.000363537,-0.023205034
GYRO,350000000,-0.048024304,0.000000000,0.032869234,-0.000363537,-0.023205034
GYRO,375000000,-0.075884061,0.000000000,0.035214495,-0.000417969,-0.024405642
WHEEL,400000000,3.004441578,2.684640470,0.037559690,-0.000475216,-0.026302743
GYRO,400000000,-0.079528958,0.000000000,0.037559690,-0.000475216,-0.026302743
GYRO,425000000,-0.049048850,0.000000000,0.039905625,-0.000536935,-0.028290967
WHEEL,450000000,3.002849292,2.699306956,0.042251432,-0.000603318,-0.029517188
GYRO,450000000,-0.064456849,0.000000000,0.042251432,-0.000603318,-0.029517188
GYRO,475000000,-0.055525480,0.000000000,0.044602547,-0.000672736,-0.031128610
WHEEL,500000000,3.022686786,2.697905089,0.046953547,-0.000745943,-0.032516747
GYRO,500000000,-0.076899435,0.000000000,0.046953547,-0.000745943,-0.032516747
GYRO,525000000,-0.068150460,0.000000000,0.049312044,-0.000822661,-0.034439233
WHEEL,550000000,2.989497543,2.738255426,0.051670388,-0.000903912,-0.036142994
GYRO,550000000,-0.072832507,0.000000000,0.051670388,-0.000903912,-0.036142994
GYRO,575000000,-0.072085946,0.000000000,0.054031544,-0.000989289,-0.037963807
WHEEL,600000000,2.959465607,2.722388472,0.056392539,-0.001078964,-0.039765955
GYRO,600000000,-0.072028021,0.000000000,0.056392539,-0.001078964,-0.039765955
GYRO,625000000,-0.055268738,0.000000000,0.058734451,-0.001172142,-0.041566656
WHEEL,650000000,3.015583853,2.677978045,0.061076191,-0.001269536,-0.042948374
GYRO,650000000,-0.080710797,0.000000000,0.061076191,-0.001269536,-0.042948374
GYRO,675000000,-0.087036077,0.000000000,0.063422620,-0.001370373,-0.044966144
WHEEL,700000000,3.022604564,2.707462378,0.065768840,-0.001475945,-0.047142046
GYRO,700000000,-0.069689299,0.000000000,0.065768840,-0.001475945,-0.047142046
GYRO,725000000,-0.062448257,0.000000000,0.068129867,-0.001587331,-0.048884279
WHEEL,750000000,2.992270541,2.676824596,0.070490696,-0.001702831,-0.050445485
GYRO,750000000,-0.056305858,0.000000000,0.070490696,-0.001702831,-0.050445485
GYRO,775000000,-0.068675536,0.000000000,0.072826223,-0.001820748,-0.051853132
GYRO,800000000,-0.066938842,0.000000000,0.075161582,-0.001941952,-0.053570020
WHEEL,800000000,3.011322256,2.685910931,0.075161582,-0.001941952,-0.053570020
GYRO,825000000,-0.078022677,0.000000000,0.077508319,-0.002067787,-0.055243491
WHEEL,850000000,2.972441214,2.692937667,0.079854842,-0.002197549,-0.057194058
GYRO,850000000,-0.080699221,0.000000000,0.079854842,-0.002197549,-0.057194058
GYRO,875000000,-0.059196282,0.000000000,0.082187990,-0.002331137,-0.059211538
WHEEL,900000000,2.990770686,2.701333146,0.084520863,-0.002469432,-0.060691446
GYRO,900000000,-0.063127869,0.000000000,0.084520863,-0.002469432,-0.060691446
GYRO,925000000,-0.069444344,0.000000000,0.086864533,-0.002611847,-0.062269642
WHEEL,950000000,2.996474286,2.724017855,0.089207975,-0.002757962,-0.064005751
GYRO,950000000,-0.065343968,0.000000000,0.089207975,-0.002757962,-0.064005751
GYRO,975000000,-0.057568092,0.000000000,0.091562846,-0.002908893,-0.065639350
WHEEL,1000000000,3.013967979,2.696567423,0.093917468,-0.003063671,-0.067078552
